序号,UT,题名,判定,理由/标签,判定阶段
500,WOS:000389388900068,Design of a cost-effective wind/photovoltaic/hydrogen energy system for supplying a desalination unit by a heuristic approach,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
501,WOS:000300648100029,Multi-objective optimization of a cogeneration plant for supplying given amount of power and fresh water,X,过程级(联产厂电+淡水多目标),题目+关键词
502,WOS:000629734100001,An optimal operation method of cascade hydro-PV-pumped storage generation system based on multi-objective stochastic numerical P systems,X,纯电力(梯级水-光-抽蓄调度),题目+关键词
503,WOS:000675599300013,Performance Evaluation of a Passive House in Sub-arctic Climate,X,被动房性能,题目+关键词
504,WOS:000424244500011,RAPTOR: a network tool for mitigating the impact of spatially correlated failures in infrastructure networks,X,"容错网络设计工具(通信为主,水-电仅展望)",摘要
505,WOS:000365989800034,"Low-cost solution to the grid reliability problem with 100% penetration of intermittent wind, water, and solar for all purposes",X,纯电力(100%可再生电网可靠性),题目+关键词
506,WOS:000437352400013,Intelligent system for control of water distribution networks,X,"纯供水(配水网智能控制,能效视角)",题目+关键词
507,WOS:000670999200001,Optimization of Wind Energy Battery Storage Microgrid by Division Algorithm Considering Cumulative Exergy Demand for Power-Water Cogeneration,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
508,WOS:000613139700025,"Waste heat recovery in an intercooled gas turbine system: Exergo-economic analysis, triple objective optimization, and optimum state selection",X,燃机余热㶲经济,题目+关键词
509,WOS:001713107600001,Hierarchical economic model predictive control of coupled SWRO-PEM hydrogen production systems,X,SWRO-PEM制氢层级控制(过程),题目+关键词
510,WOS:000370972300012,Thermo-economic analysis of combined power and water production in Iran by multi effect desalination method,X,过程级(电力+MED热经济),题目+关键词
511,WOS:001770920800001,Minimizing water consumption in concentrating solar power (CSP) plants through integrated organic Rankine cycle waste heat recovery,X,CSP耗水削减(nexus资源侧),题目+关键词
512,WOS:001512570800032,Resilience Assessment of Urban Power Network Considering Multi-Stage Electrical-Water Fault Propagation,A,城市电网韧性(电-水多级故障传播),题目+关键词
513,WOS:000370073800079,A Science of System Security,X,系统安全科学,题目+关键词
514,WOS:001848460700001,Hollow kapok fiber-enabled photothermal aerogel with water supply and salt back-diffusion for solar desalination and thermoelectric generation,X,材料级(气凝胶淡化+热电),题目+关键词
515,WOS:000674588300005,"Four-Objective Optimal Scheduling of Energy Hub Using a Novel Energy Storage, Considering Reliability and Risk Indices",X,能源枢纽四目标调度(无水),题目+关键词
516,WOS:000514252900008,Efficiency assessment of water reclamation processes in milk protein concentrate manufacturing plants: A predictive analysis,X,乳品加工水回用,题目+关键词
517,WOS:000535972800002,Solar-driven co-generation of electricity and water by evaporation cooling,X,器件级(蒸发冷却电-水联产),题目+关键词
518,WOS:001177819600001,Thermodynamic evaluation of a novel open volumetric receiver-heliostat plant/desalination unit hybrid system,X,过程级(太阳能塔+MED),题目+关键词
519,WOS:001665911300022,Landslide Identification and Proposed Remediation for Castaic Power Plant South Portal Access Road,X,电厂道路滑坡,题目+关键词
520,WOS:000710278700001,Urban sustainability: Lessons from organisms and ecosystems,X,城市可持续仿生学,题目+关键词
521,WOS:000324043900003,A Preliminary Environmental Assessment for the Preservation and Restoration of Fujian Hakka Tulou Complexes,X,土楼保护,题目+关键词
522,WOS:001520163900001,Environmental sustainability in food processing: challenges and solutions in the vegetable oil and fat industry in Brazil,X,食品加工可持续,题目+关键词
523,WOS:000406419500009,"Analysis of Affordance, Time, and Adaptation in the Assessment of Industrial Control System Cybersecurity Risk",X,工控网络安全,题目+关键词
524,WOS:000367769800009,"Analysis of profitability of rainwater harvesting, gray water recycling and drain water heat recovery systems",X,建筑雨水/灰水/排水热回收经济性,题目+关键词
525,WOS:000883502300001,Energy Performance Assessment of a Novel Solar Poly-Generation System Using Various ORC Working Fluids in Residential Buildings,X,住宅太阳能多联产(过程),题目+关键词
526,WOS:000345030300009,Designing for resilience,X,网络韧性设计(通用),题目+关键词
527,WOS:001031652200001,"A novel zero-emission process for the co-production of power, natural gas liquid, and carbon dioxide based on shale gas",X,过程级(页岩气零排放联产),题目+关键词
528,WOS:000243695300008,Seismic response of critical interdependent networks,A,[B终筛升A]电-配水-交通-通信互依网络地震响应与级联失效缓解,摘要复核(B类终筛)
529,WOS:000466253100011,Resilience improvement planning of power-water distribution systems with multiple microgrids against hurricanes using clean strategies,A,飓风下电力-配水系统韧性提升规划(微网),题目+关键词
530,WOS:000246615103025,Characteristics of lateral ground force acting on piles in laterally spreading soil,X,桩基侧向土力,题目+关键词
531,WOS:000332904200005,Steady state model for multi-effect distillation case study: Plataforma Solar de Almeria MED pilot plant,X,MED中试建模(过程),题目+关键词
532,WOS:001338487200001,"Addressing extreme weather events for the renewable power-water-heating sectors in Neom, Saudi Arabia",X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
533,WOS:000369191400018,Performance investigation of a novel water-power cogeneration plant (WPCP) based on humidification dehumidification (HDH) method,X,过程级(HDH水-电联产),题目+关键词
534,WOS:000435697200014,Improved determination of mechanical power output in rowing: Experimental results,X,赛艇生物力学,题目+关键词
535,WOS:001241286500054,IoT-based Solution to Reduce Waste and Promote a Sustainable Farming Industry,X,农业IoT,题目+关键词
536,WOS:001249206100001,Alternative proton exchange membrane based on a bicomponent anionic nanocellulose system,X,燃料电池质子膜材料,题目+关键词
537,WOS:000676243300001,A Mathematical Program for Scheduling Preventive Maintenance of Cogeneration Plants with Production,X,联产电厂维护调度,题目+关键词
538,WOS:000369461700029,Conceptual model-based optimization and environmental evaluation of waste solvent technologies: Distillation/incineration versus distillation/pervaporation,X,废溶剂处理LCA,题目+关键词
539,WOS:001308764100001,Renewable energy-powered water desalination and treatment network under wind power and water demand uncertainty: A possibilistic chance-constrained programming,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
540,WOS:000982339400009,Wireless Water Quality Monitoring System,X,水质监测浮标,题目+关键词
541,WOS:000403732700021,A mathematical framework to optimize resilience of interdependent critical infrastructure systems under spatially localized attacks,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
542,WOS:001504315200006,Characterizing the Venezuelan situation between 2014-2020 in a population-based study using seven key indicators,X,委内瑞拉人口健康,题目+关键词
543,WOS:000380544900030,"A Solar-powered, Wi-FiRe-programmable Precision Irrigation Controller",X,精准灌溉控制器,题目+关键词
544,WOS:001308802800001,Toward sustainable energy resource: Integrated concentrated photovoltaic and membrane distillation systems for fresh water and electricity production,X,过程级(CPV+膜蒸馏水电联产),题目+关键词
545,WOS:000313965700015,Novel Technique for Reducing the High Fault Currents and Enhancing the Security of ADWEA Power System,X,纯电力(短路电流限制),题目+关键词
546,WOS:001238384100001,Making waves: Power-to-X for the Water Resource Recovery Facilities of the future,X,"污水厂Power-to-X(污水-电耦合,口径外)",题目+关键词
547,WOS:000275146100003,"Environmental, economic and performance merits of triple production of water, electricity and renewable energy",X,过程级(水-电-可再生三联产),题目+关键词
548,WOS:000602844900005,Enhancing the performance of a bioelectrochemically assisted osmotic membrane bioreactor based on reverse diffusion of organic and buffering draw solutes,X,渗透膜生物反应器,题目+关键词
549,WOS:000650260300001,"Heat Emergencies: Perceptions and Practices of Community Members and Emergency Department Healthcare Providers in Karachi, Pakistan: A Qualitative Study",X,热浪健康(卡拉奇),题目+关键词
550,WOS:001332312800001,"Divergent behaviour of soil nutrients imprinted by different land management practices in the Three Gorges Reservoir Area, China",X,三峡库区土壤养分,题目+关键词
551,WOS:001248638800001,Carbon Neutral Design of Waste Energy Recovery System for LNG Power Plant Using Organic Rankine Cycle,X,LNG电厂ORC碳中和,题目+关键词
552,WOS:000243098600058,Performance analysis of combined humidified gas turbine power generation,X,过程级(湿化燃机+MED-TVC),题目+关键词
553,WOS:000315687200136,Hysteresis-based Robust Trust Computing Mechanism for Cloud Computing,X,云计算信任机制,题目+关键词
554,WOS:000316557800011,Analytical Model for Water Inflow of an Archimedes Screw Used in Hydropower Generation,X,阿基米德螺线水轮机,题目+关键词
555,WOS:001826903100001,Hyperbolic PDE-constrained decision-dependent robust planning of hydrogen energy storage systems for resilient electricity-water-gas nexus,A,"电-水-气nexus鲁棒规划(氢储,PDE约束)",题目+关键词
556,WOS:001247076000001,Comprehensive thermodynamic and economic analysis of an LNG cold energy recovery system using organic Rankine cycle and freezing-centrifugal desalination for power and water cogeneration,X,过程级(LNG冷能+冷冻淡化),题目+关键词
557,WOS:001649355300002,Machine learning for resilience analysis: a review of systems under cyberattacks,X,ML网络攻击韧性综述(电力),题目+关键词
558,WOS:000327685000038,An exergoeconomic investigation of waste heat recovery from the Gas Turbine-Modular Helium Reactor (GT-MHR) employing an ammonia-water power/cooling cycle,X,GT-MHR氨-水余热,题目+关键词
559,WOS:000442772100001,Estimating network related risks: A methodology and an application in the transport sector,X,交通网络风险,题目+关键词
560,WOS:000419813100042,Maintaining electric grid reliability under hydrologic drought and heat wave conditions,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
561,WOS:000905068100073,Probabilistic Seismic Risk Evaluation of the City of Los Angeles Water System Pipeline Network,X,纯供水(洛杉矶管网地震风险),题目+关键词
562,WOS:001519163200001,Mitigating severe hydrological droughts in the Brazilian tropical high-land region: A novel land use strategy under climate change,X,巴西干旱土地利用,题目+关键词
563,WOS:000904155000001,Microbial Fuel Cells (MFC): A Potential Game-Changer in Renewable Energy Development,X,MFC综述,题目+关键词
564,WOS:001678414000001,Comparing environmental footprints of haemodialysis and online haemodiafiltration in Italy,X,血液透析LCA,题目+关键词
565,WOS:001835110100001,"Migration decision making in MENA: Role of food insecurity, water, and energy scarcity",X,MENA迁移决策(水/能稀缺),题目+关键词
566,WOS:000434797800064,Building Modelling Methodologies for Virtual District Heating and Cooling Networks,X,区域供冷热网建模,题目+关键词
567,WOS:000168286800005,Impact of energy-conservation measures on cooling load and air-conditioning plant capacity,X,空调节能,题目+关键词
568,WOS:000374289500010,"Feasibility of anaerobic membrane bioreactors (AnMBR) for onsite sanitation and resource recovery (nutrients, energy and water) in urban slums",X,贫民窟厌氧膜卫生,题目+关键词
569,WOS:000430727100005,Relationships between average gully depths and widths on geological sediments underlying the Idah-Ankpa Plateau of the North Central Nigeria,X,侵蚀沟形态(尼日利亚),题目+关键词
570,WOS:000415818300005,Membrane device with integrated photoelectric system for producing drinking water and electricity,X,器件级(膜蒸馏+PV饮水-电),题目+关键词
571,WOS:001400155400001,"Advancing residential energy and water solutions in Riyadh, Saudi Arabia: A cogeneration system with dynamic load management for optimized electricity and water production",X,"住宅联产电-水(膜蒸馏,过程)",题目+关键词
572,WOS:000447479100012,"A concept of combined cooling, heating and power system utilising solar power and based on reversible solid oxide fuel cell and metal hydrides",X,CCHP-SOFC金属氢化物,题目+关键词
573,WOS:000604693800017,Assessment of operational availability for the PIP-II Superconducting Radio Frequency linear accelerator facility,X,加速器可用性,题目+关键词
574,WOS:000806099100001,"Disposable and reusable instruments in dental health practice: A comparison of cost factors in a public provider organization in Queensland, Australia",X,牙科器械成本,题目+关键词
575,WOS:000255550300004,Active cooling solutions for high power laser diodes stacks - art. no. 687604,X,激光二极管冷却,题目+关键词
576,WOS:001159929300001,Renewable Energy Source (RES)-Based Polygeneration Systems for Multi-Family Houses,X,住宅RES多联产(过程),题目+关键词
577,WOS:000348502100012,ACCURACY OF SERVICE AREA ESTIMATION METHODS USED FOR CRITICAL INFRASTRUCTURE RECOVERY,X,电力变电站服务区估计(电力为主),摘要
578,WOS:001307205300001,Development of an Intelligent Service Platform for a Poultry House Facility Environment Based on the Internet of Things,X,禽舍IoT,题目+关键词
579,WOS:000395712200003,Efficiency of a Combined Desalination and Power System Utilizing a Two-Phase Flow Multistream Heat Exchanger,X,过程级(淡化+电力换热器),题目+关键词
580,WOS:000363817400017,Humidification-dehumidification desalination process driven by photovoltaic thermal energy recovery (PV-HDH) for small-scale sustainable water and power production,X,过程级(PV-HDH小规模水电联产),题目+关键词
581,WOS:000887644100001,Cogeneration Systems Performance Analysis as a Sustainable Clean Energy and Water Source Based on Energy Hubs Using the Archimedes Optimization Algorithm,X,联产+能源枢纽优化(过程),题目+关键词
582,WOS:000959325100001,Brazilian payment for environmental services programs emphasize water-related services,X,巴西生态服务付费,题目+关键词
583,WOS:001380592500012,Modeling of a Photovoltaic/Thermal Hybrid Panel for Residential Hot Water System,X,PV/T热水系统,题目+关键词
584,WOS:000263608500009,Why are remote Western Australians installing renewable energy technologies in stand-alone power supply systems?,X,偏远地区独立供电采纳,题目+关键词
585,WOS:000427222200088,Implementation of Smart Infrastructure and Non-Invasive Wearable for Real Time Tracking and Early Identification of Diseases in Cattle Farming using IoT,X,养牛IoT,题目+关键词
586,WOS:000343761500035,Climate Change Consideration in Hydropower Development in Nepal Himalayan Region,X,尼泊尔水电气候,题目+关键词
587,WOS:000396731100032,The Use of Modified Composite Materials in Building Hydraulic Engineering Structures,X,水工结构复合材料,题目+关键词
588,WOS:001624438000039,Ion-engine hydrogel based solar desalination for water-electricity cogeneration with milliampere level current,X,材料级(水凝胶淡化+水电),题目+关键词
589,WOS:001565784400006,Photocatalytic hydrogen production by splitting atmospheric water for simultaneous water harvesting and power generation,X,器件级(光催化制氢+空气取水),题目+关键词
590,WOS:000482245700015,The water-energy vulnerability in the Barcelona metropolitan area,X,巴塞罗那水-能贫困(社会),题目+关键词
591,WOS:001755745100001,Nature-based solutions for soil and water conservation in an era of climate extremes: Limitations and future scenarios,X,水土保持NbS,题目+关键词
592,WOS:001849385400002,Training under planetary risk: planetary health ethics in clinical education and governance,X,行星健康伦理,题目+关键词
593,WOS:001665895500001,Optimal configuration of battery energy storage for resilience enhancement in multi-energy-coupled active distribution networks against typhoon events,A,电-气-水-热多能源耦合配网台风韧性(储能优化配置)[捞回],摘要复核(多系统耦合捞回)
594,WOS:000368037100007,Simulation and economic evaluation of small-scale SOFC-GT-MED,X,过程级(SOFC-GT-MED),题目+关键词
595,WOS:001301435400001,"A novel offshore energy station with poly-generation of power, fresh water, heat, cold and ice",X,过程级(海上能源站多联产),题目+关键词
596,WOS:000402343500033,"Financial analysis and risk assessment of hydroprocessed renewable jet fuel production from camelina, carinata and used cooking oil",X,航空生物燃料金融,题目+关键词
597,WOS:000893205800120,A low-power water quality monitoring system and prediction model,X,水质监测低功耗,题目+关键词
598,WOS:000412117100067,Multi-level Resilience in Networked Environments: Concepts & Principles,X,云安全韧性,题目+关键词
599,WOS:001598168100001,Bamboo Fiber Paper-Based Filter Material for Fast and Efficient Capture of Microplastics,X,竹纤维微塑料过滤,题目+关键词
600,WOS:001555444400001,"Thermodynamic, Economic, and Environmental Evaluation of Municipal Waste Incinerator to Produce Power and Fresh Water",X,过程级(垃圾焚烧电+淡水),题目+关键词
601,WOS:000445126200003,Optimal mass loading rate in low energetic full-scale reverse osmosis desalination,X,RO装载率,题目+关键词
602,WOS:000274135200002,Cleanroom energy efficiency strategies: Modeling and simulation,X,洁净室能效,题目+关键词
603,WOS:000286343000009,Combining the nuclear power plant steam cycle with gas turbines,X,核电+燃机蒸汽循环,题目+关键词
604,WOS:000254666500004,On better utilization of gas turbines in Kuwait,X,科威特燃机+淡化(过程),题目+关键词
605,WOS:000923023700001,All-day working photovoltaic cooling system for simultaneous generation of water and electricity by latent heat recycling,X,器件级(PV冷却水电联产),题目+关键词
606,WOS:000343834200036,Real-World Performance of a CERTS Microgrid in Manhattan,X,CERTS微网实证,题目+关键词
607,WOS:000282196500015,MICROGRIDS: A NEW APPROACH TO SUPPLY-SIDE DESIGN FOR DATA CENTERS,X,数据中心微网设计,题目+关键词
608,WOS:000244687000020,River habitat monitoring and assessment in Germany,X,河流生境监测,题目+关键词
609,WOS:000168136100006,"Integrated power, water and salt generation: a discussion paper",X,过程级(电-水-盐联产讨论),题目+关键词
610,WOS:000243723700084,Design of AMR data terminator equipment with GPRS,X,自动抄表GPRS,题目+关键词
611,WOS:001304907400023,LYOPHILIZATION/ FREEZE-DRYING AND SOLVENT RECOVERY WITH AIR REFRIGERATION,X,冷冻干燥制冷,题目+关键词
612,WOS:000394239400004,Quantification and Enhancement of the Resilience of Infrastructure Networks,X,天然气网络韧性,题目+关键词
613,WOS:000518874500094,Techno-economic feasibility study of a solar-powered distributed cogeneration system producing power and distillate water: Sensitivity and exergy analysis,X,过程级(太阳能分布式联产电+水),题目+关键词
614,WOS:000336314900047,Environmental assessment on electrokinetic remediation of multimetal-contaminated site: a case study,X,电动力学修复LCA,题目+关键词
615,WOS:001256808800001,Hybrid Genetic Algorithm and Tabu Search for Solving Preventive Maintenance Scheduling Problem for Cogeneration Plants,X,联产电厂维护GA/TS,题目+关键词
616,WOS:000411096800001,Energy Efficiency Prediction Based on PCA-FRBF Model: A Case Study of Ethylene Industries,X,乙烯能效预测,题目+关键词
617,WOS:001586901300025,Revitalizing India's Aging Dams-An Electrical Engineering Approach to Sustainable Rehabilitation,X,印度大坝改造(水电+智能电网),题目+关键词
618,WOS:001586893700029,Revitalizing India's Aging Dams-An Electrical Engineering Approach to Sustainable Rehabilitation,X,印度大坝改造(与617重复记录),题目+关键词
619,WOS:001681150000007,"Electricity Theft Detection With Multi-Source Data: Integrating Electricity, Water, and Gas",X,用户侧异常检测(电/水/气数据融合),题目+关键词
620,WOS:000372705800150,A Novel Motor-Speed-Regulation Method,X,电机调速,题目+关键词
621,WOS:000361499900061,COMBINED HEAT AND POWER GAS TURBINE OPERATIONAL FLEXIBILITY,X,CHP燃机运行灵活性,题目+关键词
622,WOS:000380709700007,Synchrophasor-based real-time state estimation and situational awareness system for power system operation,X,纯电力(同步相量状态估计),题目+关键词
623,WOS:001586822800001,"Assessing soil erosion vulnerability using a novel capacity-condition framework (CCF): A case study from New South Wales, Australia",X,土壤侵蚀,题目+关键词
624,WOS:000415769300001,A modified ammonia-water power cycle using a distillation stage for more efficient power generation,X,氨-水循环,题目+关键词
625,WOS:000477807300005,Analyzing the economic value of thermal power plant cooling water consumption,X,nexus资源侧(火电冷却水经济价值),题目+关键词
626,WOS:000730389300009,Improved Lignite Predrying System Integrated with Heat and Water Recovery from Wet Flue Gas at Lignite-Fired Power Plants: Energy and Water Conservation,X,褐煤预干燥烟气热水回收(过程),题目+关键词
627,WOS:001181163200013,"Change in emotional distress, anxiety, depression and PTSD from pre- to post-flood exposure in women residing in low-income settings in South Africa",X,洪灾心理健康,题目+关键词
628,WOS:000360999100127,Efficient and Secure M2M Communications for Smart Metering,X,M2M智能计量安全,题目+关键词
629,WOS:001386313600001,How to achieve optimal photovoltaic plant capacity in hydro-photovoltaic complementary systems: Fully coupling long-term and short-term operational modes of cascade hydropower plants,X,纯电力(水光互补调度),题目+关键词
630,WOS:001859735900001,Recent Advances in Phase-Change-Coupled Interfacial Evaporation: Thermal-Mass Management and Multifunctional Applications,X,材料级(相变界面蒸发),题目+关键词
631,WOS:001199824000001,Thermal-driven osmosis utilizing hollow fiber membranes: Sustainable dye water treatment and electricity extraction,X,器件级(热渗透印染水处理发电),题目+关键词
632,WOS:001416280000001,Sustainable process modeling and holistic 4E assessment of an innovative CHP plant with renewable hydrogen production based on multi-heat recovery and PEM electrolyzer,X,过程级(CHP+制氢4E),题目+关键词
633,WOS:000972740700001,Effects of cropland abandonment and afforestation on soil redistribution in a small Mediterranean mountain catchment,X,地中海土壤侵蚀,题目+关键词
634,WOS:001620353000001,Photothermal conversion-passive cooling interface achieves efficient evaporation and sustainable thermoelectric power generation,X,器件级(界面蒸发热电),题目+关键词
635,WOS:001315932500323,Enhancing Resilience of Reconfigurable Power-Water Systems with Mobile Distributed Generators and High-Proportional Renewables,A,可重构电力-水系统韧性(移动电源+高比例可再生),题目+关键词
636,WOS:000559513000001,DANGER! Crisis Health Workers at Risk,X,医务人员危机健康,题目+关键词
637,WOS:001587617300001,Thermoeconomic optimization of climate-adaptive solar and wind multi-generation systems using artificial intelligence and thermal energy recovery,X,过程级(风光多联产热经济),题目+关键词
638,WOS:000867888700014,Interdependent Infrastructures as a Multiteam System: Enhancing Resilience,X,相依基础设施组织协同(多团队),题目+关键词
639,WOS:000369005400015,"Climate variability and changes in the major cities of Bangladesh: observations, possible impacts and adaptation",X,孟加拉城市气候,题目+关键词
640,WOS:000870464000009,Socio-economic and environmental analysis on solar thermal energy-based polygeneration system for rural livelihoods applications on an Island through interventions in the energy-water-food nexus,X,过程级(海岛太阳能多联产nexus),题目+关键词
641,WOS:001856147400001,Measuring Climateand Water Risk across the Bulk PowerSystem,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
642,WOS:000789224400001,"Techno-economic-environmental modeling, joint optimization, and sensitivity analysis of a combined water desalination-hybrid renewable supply system",X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
643,WOS:001776918400001,"Hydrogen-driven thermoelectric trigeneration for sustainable homes: electricity, water, and heat",X,住宅氢三联供(器件),题目+关键词
644,WOS:001672168600002,"Environmental Life Cycle Assessment of Industrial Hazardous Waste Incineration: The Case of Kocaeli, Türkiye",X,危废焚烧LCA,题目+关键词
645,WOS:001215956800001,Innovative use of air gap membrane distillation to harvest waste heat from alkaline fuel cell for efficient freshwater production: A comprehensive 4E study,X,过程级(燃料电池余热AGMD淡化),题目+关键词
646,WOS:001139525500001,Sustainability and Resilience of Engineering Assets,X,工程资产可持续韧性(通用),题目+关键词
647,WOS:001655657200001,Techno-economic assessment of a demand-responsive RO-PRO superstructure for sustainable saline wastewater treatment,X,过程级(RO-PRO含盐废水),题目+关键词
648,WOS:000239327000007,Metabolomic analysis using optimized NMR and statistical methods,X,NMR代谢组学,题目+关键词
649,WOS:000454183400036,Engineered Slippery Surface to Mitigate Gypsum Scaling in Membrane Distillation for Treatment of Hypersaline Industrial Wastewaters,X,材料级(膜蒸馏防垢),题目+关键词
650,WOS:000233488400007,Rehabilitation and uprating of Ras Abu Fontas MSF desalination units: process optimisation and life extension,X,MSF淡化装置改造,题目+关键词
651,WOS:001656294900001,Energy-water-transport nexus modeling for energy transition: A system dynamics approach,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
652,WOS:000333064000014,Efficiency improvement and exergy destruction reduction by combining a power and a multi-effect boiling desalination plant,X,过程级(电力+MED效率),题目+关键词
653,WOS:000657974200010,Feasibility Study of The IoT-Connectivity Deployment for AMI Service: A Case Study in Surabaya City,X,AMI物联网部署,题目+关键词
654,WOS:000084508100035,Experience in and future prospects for sea water desalination in Saudi Arabia,X,沙特淡化展望,题目+关键词
655,WOS:000874530600001,Development of an efficient ammonia-water power cycle through heat exchanger network analysis and artificial neural network,X,氨-水循环HEN-ANN,题目+关键词
656,WOS:000428485500020,MULTI EFFECTS DESALINATION-MECHANICAL VAPOR COMPRESSION POWERED BY LOW TEMPERATURE SUPERCRITICAL ORGANIC RANKINE CYCLE,X,过程级(MED-MVC+ORC),题目+关键词
657,WOS:001021622600001,"Redistribution process of precipitation in ecological restoration activity of Pinus sylvestris var. mongolica in Mu Us Sandy Land, China",X,毛乌素降水再分配,题目+关键词
658,WOS:000818068500053,Experimental research on the performance of BIPV/T system with water-cooled wall,X,BIPV/T水冷墙,题目+关键词
659,WOS:000375561905061,Simulation on Water Temperature Change Process of Diversion Channel for Pumping Well Water to Melt Ice,X,抽井水融冰渠道水温模拟,题目+关键词
660,WOS:001540218700001,Operation optimisation of micro pumped storage for decarbonisation of water and electricity distribution network in urban areas,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
661,WOS:000320625800081,"SENSITIVITY ANALYSIS OF A BIOMASS FIRED STIRLING ENGINE COMBINED COOLING, HEATING, AND POWER SYSTEM FOR A SMALL OFFICE BUILDING",X,生物质斯特林CCHP,题目+关键词
662,WOS:001634715500001,Low-temperature desalination based on natural circulation driven by waste heat,X,过程级(低温余热自然循环淡化),题目+关键词
663,WOS:000263861200081,Synchronized Measurement and Analysis in Real Time SMART® - system at Southern California Edison (SCE) Co,X,纯电力(SCE同步测量),题目+关键词
664,WOS:000252997100009,Designing cost-effective seawater reverse osmosis system under optimal energy options,X,SWRO能量方案设计(过程),题目+关键词
665,WOS:000248097800007,Simulation as a tool to assess the vulnerability of the operation of a health care facility,X,医疗设施运行脆弱性,题目+关键词
666,WOS:001144851300001,Cross-domain flood risk assessment for smart cities using dynamic knowledge graphs,X,智慧城市洪水风险知识图谱,题目+关键词
667,WOS:000362741300001,Detection of Malware Propagation in Sensor Node and Botnet Group Clustering Based on E-mail Spam Analysis,X,恶意软件传播检测,题目+关键词
668,WOS:001052990200001,Systematic exploration of heat wave impact on mortality and urban heat island: A review from 2000 to 2022,X,热浪死亡率综述,题目+关键词
669,WOS:000921750400001,Power blackout: Citizens? contribution to strengthen urban resilience,X,停电公民参与韧性(社会),题目+关键词
670,WOS:000208675900001,Sequential Propagation of Seismic Fragility across Interdependent Lifeline Systems,A,地震脆弱性顺序传播(互依电-水网络对比),摘要
671,WOS:000312914300071,Development of Sensor Node to Measure Soil Moisture,X,土壤湿度传感器,题目+关键词
672,WOS:000380493000001,"When Worlds Collide: Safety, Mission and Security-Critical System Engineering",X,系统工程安全,题目+关键词
673,WOS:001300052400001,Thermal and electrical performance analysis of a lightweight micro CHP system for recreational vehicles,X,房车微CHP,题目+关键词
674,WOS:000389785200118,Integrating district cooling systems in Locally Integrated Energy Sectors through Total Site Heat Integration,X,区域供冷热集成,题目+关键词
675,WOS:001253646600001,"Energy, exergy, thermoeconomic analysis of a novel multi-generation system based on geothermal, kalina, double effect absorption chiller, and LNG regasification",X,过程级(地热多联产),题目+关键词
676,WOS:001756823800001,"Integrated advanced exergy and life cycle assessment of a novel PEMFC-driven tri-generation system for power, heating, and desalination",X,过程级(PEMFC三联产含淡化),题目+关键词
677,WOS:001072593400001,Evaluation of post-disaster home livability for coastal communities in a changing climate,X,灾后住宅宜居性(电力+交通),题目+关键词
678,WOS:001348628000001,A stepwise optimization method for topology structure of fluid machinery network,X,流体机械网络拓扑优化,题目+关键词
679,WOS:000400065000096,Design and Research of the Movable Hybrid Photovoltaic-Thermal (PVT) System,X,移动式PVT系统,题目+关键词
680,WOS:001522593400020,Simultaneous solar-driven steam and electricity generation by CNT/ Zn2+-intercalated graphene oxide membranes,X,材料级(CNT/GO膜蒸汽+电),题目+关键词
681,WOS:000853695300003,"China's regional imbalance in electricity demand, power and water pricing- From the perspective of electricity-related virtual water transmission",X,nexus资源侧(电力虚拟水定价),题目+关键词
682,WOS:000470051300008,Investigation of an integrated system with industrial thermal management options for carbon emission reduction and hydrogen and ammonia production,X,工业热管理氢氨生产,题目+关键词
683,WOS:000430727100006,"Impact of urbanization on groundwater recharge and urban water balance for the city of Hyderabad, India",X,城市地下水补给(海得拉巴),题目+关键词
684,WOS:000523751400014,Enhancing Integrated Power and Water Distribution Networks Seismic Resilience Leveraging Microgrids,A,综合电力+配水网络抗震韧性(微网),题目+关键词
685,WOS:000675525300050,Renewable Sources of Energy for Efficient Development of Electricity Supplies for Agriculture in Chechen Republic,X,农业供电可再生(车臣),题目+关键词
686,WOS:000277213400017,Green Analyzer for the Measurement of Total Arsenic in Drinking Water: Electrochemical Reduction of Arsenate to Arsine and Gas Phase Chemiluminescence with Ozone,X,饮用水砷检测,题目+关键词
687,WOS:000792917100002,High level architecture-based framework for modeling interdependent critical infrastructure systems,A,相依关键基础设施HLA联合仿真框架(含水-电),题目+关键词
688,WOS:000428140500044,Economic Hurdle for Implementation of Cloud Computing in Higher Education in Sultanate of Oman,X,云计算教育经济,题目+关键词
